Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,BioRad Cq,Thermo Cq,Cq Confidence,Cq Mean,Cq SD,,
50,C2,FALSE,18,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
68,C20,FALSE,300,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,24.17888772,NaN,0,,,,
68,C20,FALSE,300,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,31.96271267,NaN,0,,,,
68,C20,FALSE,300,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,29.44341942,NaN,0,,,,
69,C21,FALSE,314,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,24.27593477,NaN,0,,,,
69,C21,FALSE,314,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,28.06896251,NaN,0,,,,
69,C21,FALSE,314,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,27.20776066,NaN,0,,,,
70,C22,FALSE,330,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,24.61350244,NaN,0,,,,
70,C22,FALSE,330,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,32.54940952,NaN,0,,,,
70,C22,FALSE,330,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,29.11863741,NaN,0,,,,
71,C23,FALSE,346,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,25.11883636,NaN,0,,,,
71,C23,FALSE,346,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,28.71037907,NaN,0,,,,
71,C23,FALSE,346,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,26.99234546,NaN,0,,,,
72,C24,FALSE,362,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
72,C24,FALSE,362,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,1.635982484,NaN,NaN,0,,,,
72,C24,FALSE,362,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
51,C3,FALSE,32,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
51,C3,FALSE,32,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
51,C3,FALSE,32,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,1.820580037,NaN,NaN,0,,,,
52,C4,FALSE,48,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
52,C4,FALSE,48,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
52,C4,FALSE,48,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
53,C5,FALSE,64,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
53,C5,FALSE,64,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
53,C5,FALSE,64,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
54,C6,FALSE,80,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
54,C6,FALSE,80,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
54,C6,FALSE,80,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
55,C7,FALSE,96,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
55,C7,FALSE,96,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
55,C7,FALSE,96,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
56,C8,FALSE,112,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
56,C8,FALSE,112,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
56,C8,FALSE,112,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
57,C9,FALSE,126,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
57,C9,FALSE,126,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
57,C9,FALSE,126,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
73,D1,FALSE,10,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
73,D1,FALSE,10,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
73,D1,FALSE,10,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
82,D10,FALSE,150,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
82,D10,FALSE,150,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,36.06705123,NaN,0,,,,
82,D10,FALSE,150,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,33.61844313,NaN,0,,,,
83,D11,FALSE,166,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
83,D11,FALSE,166,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,33.14147314,NaN,0,,,,
83,D11,FALSE,166,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
84,D12,FALSE,182,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
84,D12,FALSE,182,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,35.03397974,NaN,0,,,,
84,D12,FALSE,182,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,34.78758537,NaN,0,,,,
85,D13,FALSE,198,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,1.315765233,NaN,NaN,0,,,,
85,D13,FALSE,198,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
85,D13,FALSE,198,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
86,D14,FALSE,212,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0.939182624,NaN,NaN,0,,,,
86,D14,FALSE,212,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
86,D14,FALSE,212,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,1.272608506,NaN,NaN,0,,,,
87,D15,FALSE,228,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
87,D15,FALSE,228,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
87,D15,FALSE,228,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
88,D16,FALSE,244,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
88,D16,FALSE,244,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
88,D16,FALSE,244,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
89,D17,FALSE,260,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
89,D17,FALSE,260,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
89,D17,FALSE,260,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
90,D18,FALSE,276,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
90,D18,FALSE,276,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
90,D18,FALSE,276,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
91,D19,FALSE,292,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
91,D19,FALSE,292,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
91,D19,FALSE,292,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
74,D2,FALSE,24,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
74,D2,FALSE,24,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
74,D2,FALSE,24,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
92,D20,FALSE,306,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
92,D20,FALSE,306,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
92,D20,FALSE,306,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
93,D21,FALSE,322,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
93,D21,FALSE,322,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
93,D21,FALSE,322,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
94,D22,FALSE,338,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
94,D22,FALSE,338,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
94,D22,FALSE,338,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
95,D23,FALSE,354,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
95,D23,FALSE,354,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
95,D23,FALSE,354,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
96,D24,FALSE,370,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
96,D24,FALSE,370,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
96,D24,FALSE,370,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
75,D3,FALSE,40,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
75,D3,FALSE,40,N Gene,UNKNOWN,FAM,NFQ-MGB,Amp,2.399570349,NaN,36.02932358,0.966064574,36.02932358,,,
75,D3,FALSE,40,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
76,D4,FALSE,56,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
76,D4,FALSE,56,N Gene,UNKNOWN,FAM,NFQ-MGB,Amp,2.480858061,NaN,36.05295944,0.983719674,36.05295944,,,
76,D4,FALSE,56,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,Amp,2.303136276,NaN,34.95648193,0.979321451,34.95648193,,,
77,D5,FALSE,72,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
77,D5,FALSE,72,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
77,D5,FALSE,72,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
78,D6,FALSE,88,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
78,D6,FALSE,88,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
78,D6,FALSE,88,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
79,D7,FALSE,104,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
79,D7,FALSE,104,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
79,D7,FALSE,104,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
80,D8,FALSE,118,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
80,D8,FALSE,118,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
80,D8,FALSE,118,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
81,D9,FALSE,134,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
81,D9,FALSE,134,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
81,D9,FALSE,134,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
97,E1,FALSE,3,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
97,E1,FALSE,3,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,34.26289323,NaN,0,,,,
97,E1,FALSE,3,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,1.329442424,32.89938654,NaN,0,,,,
106,E10,FALSE,143,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
106,E10,FALSE,143,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
106,E10,FALSE,143,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
107,E11,FALSE,159,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
107,E11,FALSE,159,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
107,E11,FALSE,159,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
108,E12,FALSE,175,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
108,E12,FALSE,175,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
108,E12,FALSE,175,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
109,E13,FALSE,191,PPMoV,UNKNOWN,CY5,NFQ-MGB,Amp,2.533286544,NaN,24.79761696,0.990449959,24.79761696,,,
109,E13,FALSE,191,N Gene,UNKNOWN,FAM,NFQ-MGB,Amp,2.534399701,NaN,36.43872833,0.965130949,36.43872833,,,
109,E13,FALSE,191,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,Amp,2.411531812,NaN,30.79595375,0.98815032,30.79595375,,,
110,E14,FALSE,207,PPMoV,UNKNOWN,CY5,NFQ-MGB,Amp,2.581295154,NaN,24.25372696,0.98902785,24.25372696,,,
110,E14,FALSE,207,N Gene,UNKNOWN,FAM,NFQ-MGB,Amp,2.472217276,NaN,33.05755234,0.957168115,33.05755234,,,
110,E14,FALSE,207,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,Amp,2.250184284,NaN,30.83319092,0.974765976,30.83319092,,,
111,E15,FALSE,221,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
111,E15,FALSE,221,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
111,E15,FALSE,221,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
112,E16,FALSE,237,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
112,E16,FALSE,237,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
112,E16,FALSE,237,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
113,E17,FALSE,253,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
113,E17,FALSE,253,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
113,E17,FALSE,253,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
114,E18,FALSE,269,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
114,E18,FALSE,269,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
114,E18,FALSE,269,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
115,E19,FALSE,285,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
115,E19,FALSE,285,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
115,E19,FALSE,285,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,1.014390439,NaN,NaN,0,,,,
98,E2,FALSE,19,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
98,E2,FALSE,19,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
98,E2,FALSE,19,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,1.228864092,NaN,NaN,0,,,,
116,E20,FALSE,301,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,24.1927198,NaN,0,,,,
116,E20,FALSE,301,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,34.44313181,NaN,0,,,,
116,E20,FALSE,301,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,29.70495748,NaN,0,,,,
117,E21,FALSE,315,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,24.68461325,NaN,0,,,,
117,E21,FALSE,315,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,28.90449987,NaN,0,,,,
117,E21,FALSE,315,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,27.25038473,NaN,0,,,,
118,E22,FALSE,331,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
118,E22,FALSE,331,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
118,E22,FALSE,331,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,1.554712807,NaN,NaN,0,,,,
119,E23,FALSE,347,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
119,E23,FALSE,347,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
119,E23,FALSE,347,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
120,E24,FALSE,363,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
120,E24,FALSE,363,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
120,E24,FALSE,363,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
99,E3,FALSE,33,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
99,E3,FALSE,33,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
99,E3,FALSE,33,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
100,E4,FALSE,49,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
100,E4,FALSE,49,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
100,E4,FALSE,49,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
101,E5,FALSE,65,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
101,E5,FALSE,65,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
101,E5,FALSE,65,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
102,E6,FALSE,81,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
102,E6,FALSE,81,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
102,E6,FALSE,81,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
103,E7,FALSE,97,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
103,E7,FALSE,97,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
103,E7,FALSE,97,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
104,E8,FALSE,113,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
104,E8,FALSE,113,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
104,E8,FALSE,113,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
105,E9,FALSE,127,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
105,E9,FALSE,127,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
105,E9,FALSE,127,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
121,F1,FALSE,11,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
121,F1,FALSE,11,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
121,F1,FALSE,11,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
130,F10,FALSE,151,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
130,F10,FALSE,151,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
130,F10,FALSE,151,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
131,F11,FALSE,167,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
131,F11,FALSE,167,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
131,F11,FALSE,167,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
132,F12,FALSE,183,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
132,F12,FALSE,183,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
132,F12,FALSE,183,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
133,F13,FALSE,199,PPMoV,UNKNOWN,CY5,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
133,F13,FALSE,199,N Gene,UNKNOWN,FAM,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
133,F13,FALSE,199,IAC,UNKNOWN,VIC/HEX,NFQ-MGB,No Amp,0,NaN,NaN,0,,,,
